Date: 1/15/2022,,,,,
Time: 19:26:35,,,,,
Voltage: 3.91,,,,,
Starting altitude: 505.92,,,,,
Data points to collect: 400,,,,,
Pressure (mbar),Temperature (°c),Altitude (m),V Speed (m/s),Accel on xyz (m/s^2),Elapsed Seconds
951.65,18.31,613.69,1.23,2.59 -0.55 5.02,25.82
951.59,18.32,614.3,1.43,3.30 -0.51 2.79,26.04
951.52,18.32,614.78,0.05,2.94 -0.31 7.34,26.25
951.52,18.32,615.08,0.44,3.10 -1.37 4.04,26.47
951.47,18.33,615.2,0.2,3.53 -2.98 11.45,26.69
951.55,18.34,615.08,0.15,3.57 -0.20 0.04,26.9
951.5,18.34,614.22,0.78,2.67 -1.26 7.02,27.12
951.55,18.34,614.35,1.42,3.77 -0.20 7.57,27.33
951.54,18.34,614.3,-1.75,5.53 -0.39 -0.35,27.55
951.73,18.35,614.35,1.02,4.94 -4.12 7.88,27.77
951.51,18.35,614.05,2.17,3.30 -1.26 2.39,27.99
951.61,18.37,614.26,-1.03,5.49 -3.84 20.04,28.21
951.55,18.37,613.87,0.59,4.47 -0.04 -2.47,28.42
951.51,18.38,614.3,-1.03,2.75 -2.71 5.81,28.63
951.57,18.38,614.09,0.34,3.88 -2.24 10.00,28.85
951.51,18.38,613.87,-1.61,2.55 -3.57 10.51,29.07
951.56,18.39,614.18,1.03,2.08 -0.35 6.75,29.28
951.55,18.4,614.3,-1.22,5.73 -2.08 8.12,29.5
951.64,18.4,614.05,1.38,4.67 -0.71 13.30,29.71
951.58,18.4,614.39,0.97,3.37 1.29 -2.94,29.93
951.59,18.41,613.91,2.01,7.85 -1.88 15.14,30.15
951.57,18.41,613.91,0,5.37 -2.35 13.18,30.37
951.57,18.42,613.7,0.05,5.06 -0.35 5.41,30.58
951.57,18.42,613.26,0.59,2.08 0.27 2.24,30.8
951.6,18.44,614.32,-0.2,2.71 -2.55 12.43,31.01
951.58,18.44,613.97,-1.62,3.22 -1.96 9.14,31.23
951.58,18.44,613.87,1.22,5.10 -2.20 9.57,31.44
951.58,18.45,613.97,1.41,3.37 -1.37 10.40,31.66
951.56,18.45,614.22,-0.84,5.45 -1.65 11.38,31.88
951.6,18.45,614.08,-0.39,4.63 -0.47 3.30,32.09
951.56,18.46,614,-3.23,3.96 0.51 -2.39,32.31
951.58,18.45,613.74,1.77,4.79 -2.04 10.32,32.53
951.64,18.46,613.97,3.94,4.98 -2.20 9.65,32.74
951.6,18.47,613.74,2.12,3.53 0.08 7.06,32.96
951.6,18.47,614.14,1.38,2.28 -0.08 5.41,33.18
951.64,18.48,613.52,3.06,5.73 -0.67 4.12,33.39
951.61,18.49,614.14,-0.59,7.22 -2.04 12.83,33.61
951.59,18.49,613.91,-2.62,0.55 -1.53 8.55,33.82
951.66,18.49,614.18,0.39,1.37 -2.51 7.92,34.04
951.56,18.5,613.57,-3.64,1.33 -1.45 9.02,34.25
951.58,18.5,614.65,-0.2,4.90 -1.26 0.55,34.47
951.62,18.5,614.57,-0.59,1.02 -0.82 3.37,34.68
951.62,18.5,614.4,-0.38,3.84 -2.55 14.04,34.9
951.69,18.52,613.96,-0.05,-0.04 -2.67 4.79,35.12
951.63,18.52,614.39,3.62,5.41 -2.71 4.47,35.34
951.59,18.52,614.14,-0.2,2.35 -1.53 14.75,35.55
951.67,18.53,613.57,1.23,3.96 -4.24 20.04,35.77
951.54,18.53,613.65,-0.93,4.43 -2.86 13.14,35.98
951.67,18.53,613.58,-0.98,0.20 -3.61 4.59,36.2
951.53,18.54,614.87,5.43,2.94 -0.39 5.53,36.41
951.69,18.53,612.75,-3.05,4.35 -1.84 5.10,36.63
951.82,18.54,611.89,-4.84,2.24 -0.55 2.35,36.84
951.88,18.54,611.66,-1.2,2.28 -1.45 7.53,37.06
951.99,18.55,608.67,-3.23,5.88 -0.63 4.79,37.28
952.15,18.55,609.11,1.36,9.30 -1.41 13.10,37.5
951.84,18.55,611.49,2.05,2.82 -5.18 11.61,37.71
951.98,18.55,611.15,3.6,2.67 -3.37 20.04,37.93
951.94,18.56,612.05,-1.18,5.61 -1.96 9.96,38.15
951.89,18.57,611.37,-2.85,3.57 1.49 -3.61,38.36
951.95,18.58,611.8,0.44,3.26 -4.35 18.12,38.58
951.97,18.57,611.23,2.41,8.51 -1.57 2.28,38.79
951.86,18.58,611.28,-1.03,3.73 -4.55 11.22,39.01
951.96,18.58,610.98,0.2,5.30 -3.69 8.83,39.22
951.89,18.59,611.01,-1.78,1.88 -2.08 4.86,39.44
951.93,18.6,611.48,-0.2,3.33 -2.04 2.28,39.66
951.94,18.59,611.58,-0.2,4.51 -2.55 17.06,39.88
951.92,18.6,611.84,2.58,5.61 -0.27 4.51,40.09
951.96,18.6,611.33,3.6,0.00 -2.00 10.51,40.31
951.99,18.61,611.94,-1.67,2.59 -0.27 2.63,40.53
952.09,18.61,609.94,-1.23,3.84 -1.49 8.63,40.74
952.23,18.61,608.9,1.43,-0.43 -2.28 15.46,40.96
952.27,18.61,608.28,0.39,1.33 -0.31 -5.65,41.17
952.2,18.61,608.15,-0.78,4.59 -1.92 9.02,41.39
952.16,18.62,608.45,0.24,6.59 -3.45 14.83,41.61
952.43,18.62,605.68,-4.01,6.98 -2.20 5.77,41.82
952.5,18.62,607.2,13.3,5.45 0.75 7.02,42.04
952.23,18.63,608.03,2.79,8.36 -0.27 6.63,42.25
952.23,18.63,608.42,-1.8,6.39 -3.06 16.16,42.47
952.42,18.63,607.04,-0.39,3.77 -1.49 5.18,42.69
952.41,18.63,606.55,-2.16,3.33 -1.49 7.96,42.91
952.51,18.63,605.52,2.6,3.88 -1.73 4.20,43.12
952.58,18.64,605.12,-2.47,2.59 -0.82 7.85,43.34
952.62,18.63,604.61,-2.01,3.61 -0.63 3.88,43.55
952.75,18.63,602.92,-1.62,3.96 -2.08 4.43,43.77
952.55,18.63,605.5,3.11,6.24 -1.02 5.02,43.99
952.49,18.63,606.09,-1.81,4.59 -1.06 6.79,44.2
952.6,18.65,605.55,-0.05,3.14 -2.63 9.02,44.42
952.59,18.65,605.42,3.02,4.79 0.86 -6.79,44.64
952.54,18.65,605.99,1.61,1.33 -1.77 6.32,44.85
952.52,18.65,605.68,2.05,3.41 -5.30 20.04,45.07
952.49,18.66,605.73,0.19,4.12 -4.47 17.81,45.29
952.51,18.66,606.33,0.59,8.43 -1.33 4.04,45.5
952.5,18.65,606.03,3.64,2.67 -5.10 20.04,45.72
952.51,18.66,605.95,-1.62,5.10 -0.08 -2.86,45.93
952.53,18.66,605.63,0.39,3.69 -1.37 2.90,46.15
952.5,18.67,605.9,-0.34,0.71 0.39 -7.30,46.37
952.56,18.66,605.77,0.59,3.45 -0.98 9.96,46.58
952.49,18.67,606.24,-2.98,3.65 -0.51 6.16,46.8
952.51,18.67,605.85,-1.17,7.14 -3.33 14.91,47.01
952.53,18.67,605.81,-1.02,2.98 -5.84 17.02,47.23
952.53,18.68,605.6,0.19,1.69 -2.55 4.16,47.45
952.54,18.68,605.86,0.78,4.20 -1.10 -10.55,47.66
952.52,18.68,605.85,2.8,1.26 -1.73 7.77,47.88
952.51,18.68,605.63,2.21,7.14 -2.24 13.69,48.1
952.55,18.69,605.73,0.39,6.98 -2.59 17.50,48.31
952.55,18.69,605.64,-1.4,7.45 -1.22 8.87,48.53
952.53,18.7,605.82,1.81,3.92 0.04 -0.55,48.75
952.56,18.7,605.94,1.03,5.33 -1.57 5.61,48.96
952.53,18.7,605.81,1.42,0.71 1.02 -9.30,49.18
952.56,18.7,605.73,-0.84,4.82 -3.69 15.02,49.39
952.5,18.71,605.9,-0.63,6.59 -1.26 6.79,49.61
952.52,18.71,605.38,0.19,5.41 -4.24 12.63,49.83
952.55,18.71,605.73,1.17,4.55 -2.47 15.53,50.04
952.5,18.7,605.68,0.19,2.79 -4.04 17.30,50.26
952.52,18.72,605.85,0.15,5.06 -3.57 16.83,50.48
952.55,18.72,605.81,-0.2,7.85 -4.63 20.04,50.69
952.55,18.72,605.5,-0.58,3.45 0.00 1.69,50.91
952.56,18.72,605.77,0.84,3.02 2.08 -3.18,51.12
952.56,18.72,605.55,-0.39,3.30 -1.84 10.63,51.34
952.57,18.72,605.74,1.61,4.08 -2.35 18.99,51.56
952.54,18.73,605.3,-0.73,4.82 -2.59 10.55,51.77
952.49,18.72,606.47,0,3.41 -4.00 9.81,51.99
952.5,18.72,605.99,-0.34,10.00 -3.92 17.42,52.21
952.47,18.73,605.81,-1.37,5.06 -2.00 8.90,52.42
952.49,18.73,606.2,-0.58,2.71 -1.41 2.28,52.64
952.44,18.73,606.59,1.83,3.84 0.43 -1.49,52.86
952.4,18.73,606.69,-0.58,6.24 -2.35 9.18,53.08
952.44,18.73,607.16,0,3.30 -1.96 9.92,53.29
952.37,18.73,607.12,1.43,6.35 -4.35 20.04,53.51
952.39,18.74,607.16,-0.25,1.96 -1.80 6.39,53.72
952.4,18.74,607.16,0,4.28 -3.14 4.63,53.94
952.34,18.74,607.72,0.78,1.65 -3.26 10.40,54.15
952.52,18.74,606.13,0.2,3.53 -1.49 9.96,54.37
952.5,18.75,605.56,1.47,3.33 -3.53 9.65,54.59
952.59,18.75,604.78,-1.17,1.96 0.31 -1.69,54.8
952.63,18.75,604.73,-0.78,4.04 -2.04 4.90,55.02
952.63,18.76,605.6,3.85,3.84 -1.10 8.47,55.24
952.64,18.75,605.56,0.05,1.29 -2.94 13.69,55.46
952.67,18.75,604.82,2.47,8.51 -0.04 -0.63,55.67
952.68,18.74,604.65,0.64,1.84 -0.27 10.51,55.88
952.65,18.75,604.82,3.24,-2.47 -1.77 7.53,56.1
952.7,18.75,604.73,-2.15,3.65 1.06 -1.02,56.32
952.65,18.75,605.21,0.64,6.24 -0.90 7.02,56.53
952.64,18.75,605.25,0.83,1.06 0.08 6.16,56.75
952.59,18.75,604.82,2.9,1.26 -1.77 7.34,56.96
952.58,18.75,604.73,1.85,3.18 -0.55 1.88,57.18
952.55,18.75,606.42,1.41,0.27 -1.88 7.88,57.4
952.39,18.75,606.86,0.38,2.63 -0.35 3.65,57.62
952.34,18.75,607.21,1.23,3.26 -0.86 8.75,57.83
952.32,18.76,607.12,1.78,3.18 -1.02 3.77,58.05
952.37,18.75,606.94,-0.59,5.22 0.67 4.04,58.26
952.38,18.76,606.51,0.44,1.41 -0.71 11.53,58.48
952.41,18.75,606.08,0.24,2.86 -1.10 4.90,58.7
952.48,18.76,605.86,0.2,3.92 -2.67 10.75,58.91
952.56,18.76,605.3,-0.2,5.33 -1.77 8.24,59.13
952.63,18.76,604.73,0.64,5.33 -1.18 5.02,59.34
952.66,18.76,604.73,1.56,5.26 -1.84 15.85,59.56
952.73,18.76,603.95,-1.75,3.84 -1.65 7.02,59.78
952.81,18.76,603.48,1.34,2.08 -1.18 7.81,60
952.83,18.77,603.09,-0.24,3.65 -3.49 9.57,60.22
952.99,18.76,602.65,-4.08,5.37 -1.14 8.63,60.43
953.03,18.77,601.52,0.05,6.43 -2.08 7.49,60.65
953.02,18.77,601.62,-2.01,3.37 -2.75 11.22,60.86
953.14,18.77,600.88,4.47,4.39 -1.88 7.30,61.08
953.17,18.77,600.05,2.21,7.37 -2.16 10.28,61.29
953.28,18.78,599.15,-1.57,4.55 -1.61 6.55,61.51
953.29,18.78,598.71,-0.83,1.26 -3.10 8.83,61.73
953.37,18.78,599.1,1.42,3.41 -3.80 15.18,61.94
953.38,18.79,598.1,0.39,6.20 -2.16 12.12,62.16
953.48,18.78,597.4,-0.19,4.75 -2.20 9.41,62.38
953.53,18.79,597.01,-1.17,4.04 -2.47 9.14,62.6
953.63,18.79,596.2,2.01,3.10 -2.39 9.10,62.81
953.67,18.8,595.99,-1.18,7.10 -1.80 2.28,63.03
953.73,18.8,595.25,-0.39,3.65 -1.65 6.71,63.24
953.77,18.8,595.21,1.03,0.98 -1.22 8.32,63.46
953.77,18.8,594.55,0,2.04 -2.75 7.18,63.67
953.91,18.8,594.29,0.83,0.86 -2.67 6.51,63.89
953.94,18.81,593.68,-1.03,2.59 -4.12 12.98,64.1
953.92,18.8,593.08,0.98,4.82 -2.86 12.20,64.32
954.02,18.81,593.16,2.72,7.49 -1.80 12.55,64.54
954.02,18.81,592.65,0.98,5.30 -0.16 8.16,64.76
954.09,18.82,592.25,0,4.90 -2.20 9.49,64.97
954.11,18.81,591.86,1.58,4.94 -2.24 7.61,65.19
954.17,18.82,591.81,-2.16,4.04 -3.26 13.81,65.41
954.24,18.82,591.04,-0.05,3.22 -1.37 7.37,65.62
954.31,18.82,591.25,-0.15,5.57 -2.16 10.75,65.84
954.32,18.82,590.3,-0.98,5.30 -0.67 6.98,66.05
954.31,18.82,590.08,0.83,4.12 -3.57 10.24,66.27
954.42,18.83,589.62,1.81,6.08 -2.51 12.98,66.48
954.4,18.82,589.05,0.57,3.22 -1.69 9.38,66.7
954.5,18.82,588.26,-0.19,4.79 -0.24 8.39,66.92
954.48,18.83,588.67,1.95,5.92 -1.57 3.45,67.14
954.54,18.83,588.05,-0.63,2.43 -1.61 8.90,67.36
954.59,18.83,587.71,0.19,3.80 -1.02 4.00,67.58
954.65,18.83,587.53,1.42,5.37 -0.55 9.85,67.79
954.68,18.84,586.8,-1.24,2.28 -1.96 15.14,68
954.72,18.84,586.67,2.02,3.02 -1.80 5.77,68.22
954.74,18.84,586.28,0.39,6.47 -1.26 8.90,68.43
954.76,18.84,586.15,0.24,0.98 -1.29 7.02,68.65
954.84,18.84,585.71,1.81,3.37 -2.90 11.18,68.86
954.88,18.84,585.62,-1.34,4.67 -1.06 10.83,69.08
954.91,18.84,584.94,2.41,2.59 -2.51 6.32,69.3
955.01,18.84,584.11,-1.17,5.53 -1.18 2.12,69.52
955.03,18.85,584.24,-0.97,4.28 -1.53 8.43,69.73
955.07,18.85,583.76,-0.44,5.53 -1.06 7.22,69.95
955.09,18.85,583.08,0.58,2.24 -1.53 5.96,70.17
955.13,18.85,583.11,1.38,1.61 -2.35 5.65,70.38
955.18,18.86,582.64,-1.23,5.37 -1.92 7.49,70.6
955.19,18.86,582.55,-1.03,4.51 -1.02 10.47,70.81
955.28,18.87,581.82,0.98,4.71 -3.18 14.47,71.03
955.29,18.86,581.9,-0.98,5.57 -0.31 8.20,71.24
955.32,18.86,581.39,0.58,4.94 -1.33 9.89,71.46
955.36,18.86,580.82,1.8,3.45 -2.20 6.83,71.68
955.4,18.86,580.52,0.19,1.26 -0.82 7.26,71.9
955.44,18.86,580.17,-0.43,3.77 -1.65 8.71,72.12
955.53,18.86,580.05,-1.22,3.77 -2.08 11.10,72.33
955.55,18.87,579.96,-1.02,4.82 -2.98 14.63,72.55
955.63,18.87,579.35,-1.82,7.49 -0.94 6.67,72.77
955.62,18.87,578.54,-3.83,5.18 -1.33 8.04,72.98
955.68,18.87,578.01,-1.03,6.08 0.00 5.61,73.2
955.73,18.88,578.19,-1.62,4.08 -3.61 11.69,73.41
955.74,18.87,577.75,-1.82,1.84 -2.90 10.71,73.63
955.79,18.87,576.93,0.62,1.84 -1.26 9.61,73.85
955.87,18.88,576.97,0,4.43 -2.79 10.28,74.06
955.91,18.88,575.76,0.15,4.75 -2.98 10.90,74.28
955.93,18.88,575.55,0.24,5.69 -1.57 10.63,74.5
956,18.88,575.55,0.2,6.43 -3.06 9.77,74.71
956.06,18.89,575.02,0.83,-2.67 -2.35 6.55,74.93
956.13,18.89,574.54,-0.34,2.43 -2.16 10.32,75.15
956.19,18.89,574.04,0.2,2.08 -2.43 7.02,75.36
956.21,18.9,573.77,0.79,3.69 -1.33 5.96,75.58
956.29,18.9,573.52,0.99,5.92 -1.14 4.43,75.79
956.31,18.89,572.82,0.38,2.55 -1.77 10.40,76.01
956.35,18.9,572.18,-2.64,2.12 -2.59 9.89,76.23
956.42,18.9,571.95,2.4,4.47 -2.20 5.41,76.44
956.47,18.9,571.66,1.17,3.49 -1.29 9.30,76.66
956.52,18.91,571.34,-1.22,4.90 -2.24 6.16,76.88
956.58,18.91,570.35,-0.05,7.14 -1.41 5.96,77.09
956.63,18.91,570.18,-1.82,5.57 -1.14 9.92,77.31
956.7,18.91,570.35,-0.58,3.41 -2.31 13.22,77.53
956.6,18.91,569.79,3.64,3.33 -3.02 8.28,77.75
956.66,18.92,569.58,0.05,4.59 -3.26 8.75,77.96
956.72,18.91,568.88,0,4.08 -0.98 12.28,78.18
956.76,18.91,568.71,-0.39,5.73 -2.71 10.43,78.39
956.84,18.92,568.45,-1.37,5.57 -1.69 8.00,78.61
956.87,18.92,567.68,-1.42,6.28 -1.14 1.69,78.83
956.92,18.92,567.25,1.87,0.00 -1.80 12.91,79.04
956.98,18.92,567.24,-1.02,2.16 -3.73 11.10,79.26
956.99,18.93,566.51,-1.22,7.10 -0.63 6.55,79.48
957.06,18.93,566.47,1.22,4.90 -1.45 7.77,79.69
957.16,18.93,565.79,-0.58,6.51 -1.06 9.22,79.91
957.16,18.93,564.83,1.99,5.57 -2.67 15.73,80.13
957.18,18.93,565.08,-1.67,2.24 -1.06 7.92,80.34
957.27,18.93,564.39,1.54,5.61 0.00 12.40,80.56
957.3,18.94,563.92,0.39,3.06 -1.33 7.77,80.78
957.34,18.94,563.52,1.86,1.06 -1.37 10.55,80.99
957.41,18.95,562.93,1.81,3.41 -2.55 9.26,81.21
957.47,18.95,562.75,1.43,1.80 -2.08 10.40,81.42
957.53,18.94,562.4,-0.39,3.88 -0.12 2.55,81.64
957.6,18.95,561.84,0.49,4.55 -1.14 8.83,81.86
957.62,18.95,561.5,-0.54,4.24 -1.29 9.49,82.07
957.65,18.95,560.94,-1.56,4.75 -2.59 7.22,82.29
957.75,18.95,560.59,-1.96,4.71 -2.16 5.92,82.51
957.7,18.96,560.46,-0.15,4.20 -1.92 9.18,82.72
957.77,18.96,560.03,-0.19,2.71 -3.02 15.18,82.94
957.86,18.96,559.51,0.05,3.06 -2.16 10.87,83.15
Stopped logging; writes to file met. (400 writes) This means altitude code did not execute.,,,,,
,,,,,
"error, did not deploy chute as 400 wries was met",,,,,
