Date: 1/15/2022,,,,,
Time: 19:26:35,,,,,
Voltage: 3.91,,,,,
Starting altitude: 505.92,,,,,
Data points to collect: 400,,,,,
Pressure (mbar),Temperature (°c),Altitude (m),V Speed (m/s),Accel on xyz (m/s^2),Elapsed Seconds
963.97,17.72,506.72,12054.57,3.41 -3.88 13.85,0.04
963.9,17.82,507.22,1.01,3.53 -2.20 8.67,0.21
963.81,17.83,508.28,1.19,3.02 -2.55 10.83,0.38
963.68,17.85,508.93,1.56,4.47 -2.20 8.67,0.55
963.63,17.86,509.66,2.98,2.39 -2.82 10.00,0.72
963.54,17.85,510.18,-2.98,2.55 -1.77 8.20,0.89
963.43,17.84,511.24,-1.47,3.30 -1.77 7.85,1.06
963.43,17.84,511.54,-0.74,3.53 -1.61 6.94,1.23
963.26,17.84,512.74,-0.75,2.90 -1.77 5.92,1.4
963.15,17.84,513.52,2.08,2.31 -2.31 9.57,1.57
963.12,17.84,514.55,1.57,2.51 -2.47 8.47,1.74
963.05,17.84,514.85,-1.31,2.98 -2.98 10.75,1.9
962.98,17.83,515.2,1,2.82 -2.16 10.24,2.07
962.87,17.83,516.36,1.25,4.00 -2.35 10.32,2.24
962.78,17.83,517,2.55,3.80 -1.69 10.55,2.41
962.7,17.82,517.56,0.69,3.33 -1.77 5.81,2.58
962.64,17.81,517.94,2.33,3.65 -2.59 10.59,2.75
962.57,17.8,518.98,-0.25,3.49 -2.63 10.28,2.92
962.53,17.81,519.23,0.84,4.31 -2.94 9.53,3.08
962.44,17.8,520.1,1.46,3.88 -3.02 12.12,3.25
962.39,17.79,520.45,-1.77,3.37 -1.80 5.30,3.41
962.31,17.8,520.83,1.26,1.80 -2.94 8.47,3.58
962.23,17.8,521.85,1.08,3.22 -1.37 7.61,3.75
962.11,17.79,522.46,1.01,3.22 -0.75 1.37,3.92
962.06,17.79,523.49,-0.82,5.37 -0.47 -0.39,4.08
961.96,17.79,523.96,1.57,4.82 -3.26 11.30,4.25
961.87,17.78,524.73,1.51,3.80 -0.98 6.08,4.42
961.8,17.77,525.21,1.31,4.28 -1.73 10.36,4.59
961.72,17.77,526.2,0.18,3.61 -1.45 5.02,4.76
961.64,17.77,526.59,1.54,2.12 -1.14 8.87,4.93
961.53,17.77,527.4,-0.76,1.29 -0.51 3.37,5.1
961.44,17.77,528.56,0.25,5.45 -1.29 5.02,5.27
961.4,17.77,528.99,1.01,4.28 -1.61 4.47,5.44
961.32,17.77,529.8,0.76,1.77 -3.73 12.00,5.6
961.23,17.77,530.32,0,3.57 -2.20 8.79,5.77
961.17,17.76,531.05,0.5,2.16 -2.28 6.24,5.94
Armed parachute. Current alt: 531.316,,,,,
960.97,17.76,531.95,0.78,3.02 -2.55 10.90,6.16
960.93,17.76,533.21,2.7,2.86 -1.10 5.22,6.35
960.82,17.76,533.82,-0.05,4.98 -2.90 9.92,6.54
960.74,17.76,534.4,0.66,3.92 -1.80 4.67,6.74
960.65,17.76,535.27,-1.1,4.94 -3.57 16.63,6.93
960.56,17.76,535.7,-1.11,4.39 -0.63 8.39,7.12
960.53,17.75,536.81,2,3.77 -1.37 6.04,7.31
960.42,17.75,537.46,0.17,5.65 -2.43 10.67,7.5
960.32,17.75,538.02,0.93,4.24 -0.51 2.43,7.69
960.27,17.76,539.05,-1.6,5.96 -3.53 15.26,7.88
960.16,17.77,539.82,-0.22,1.29 -0.90 6.00,8.08
960.07,17.77,540.59,2.97,3.37 -2.08 6.08,8.27
960,17.78,540.85,2.04,4.00 -2.94 12.20,8.46
959.93,17.77,541.97,1.35,5.22 -2.31 6.55,8.65
959.77,17.78,543.09,0.49,5.49 -1.73 10.79,8.84
959.69,17.79,543.74,1.8,4.31 -1.73 8.98,9.03
959.63,17.79,544.12,-1.15,3.49 -2.04 9.38,9.23
959.51,17.8,545.2,2,3.45 -1.29 3.96,9.42
959.46,17.81,545.58,0,5.53 -3.22 10.59,9.61
959.38,17.81,546.44,-0.22,4.67 -1.88 8.24,9.8
959.28,17.82,546.99,0.94,4.75 -0.86 4.98,9.99
959.19,17.83,547.73,1.16,0.86 -2.12 8.47,10.18
959.15,17.83,548.67,-0.88,1.80 -0.75 3.77,10.37
959.05,17.83,549.33,1.67,6.63 -1.84 6.24,10.57
958.92,17.84,550.14,1.56,3.06 -2.75 7.96,10.77
958.85,17.86,550.77,0.49,3.45 -0.67 3.53,10.96
958.78,17.87,551.51,-0.88,4.98 -2.71 10.87,11.15
958.69,17.87,552.16,0.22,7.02 -0.51 8.83,11.34
958.63,17.88,553.06,0.86,2.35 -1.22 0.67,11.54
958.53,17.89,553.8,3.43,3.22 1.22 -1.61,11.73
958.45,17.88,554.86,-0.67,5.06 -1.57 6.90,11.92
958.35,17.9,555.25,1.33,1.57 -1.41 1.06,12.11
958.26,17.9,556.11,-0.44,3.73 -3.14 10.90,12.3
958.18,17.91,556.67,-0.88,6.79 -1.29 10.12,12.49
958.08,17.91,557.62,-0.22,3.06 -3.53 16.40,12.69
958.02,17.92,558.52,0,4.47 -2.79 12.98,12.88
957.96,17.94,558.65,0.22,2.20 -1.33 4.47,13.08
957.86,17.95,559.51,0.43,3.06 -0.75 2.24,13.27
957.78,17.96,560.12,-0.71,4.47 -4.39 12.59,13.46
957.7,17.96,560.88,0.82,2.35 -1.41 4.08,13.66
957.63,17.98,561.97,2.95,4.75 -1.69 8.16,13.85
957.51,17.98,562.52,-0.22,2.63 -2.35 6.00,14.04
957.42,17.98,563.43,-0.44,3.02 -2.04 15.26,14.23
957.36,17.99,564.13,2.06,3.30 -2.08 0.47,14.42
957.25,17.99,564.73,0.16,1.65 -3.14 14.20,14.62
957.17,18,565.54,-0.89,2.31 -0.75 4.31,14.81
957.04,18.01,566.49,0.88,7.41 -0.67 4.90,15
956.98,18.02,567.18,-0.66,3.33 -4.43 14.75,15.19
956.87,18.02,568.34,-1.1,4.24 -1.77 9.14,15.38
956.76,18.02,568.86,1.09,4.16 -2.20 7.92,15.58
956.66,18.02,569.77,0.88,6.28 -4.39 19.18,15.77
956.57,18.02,570.89,0.21,2.59 -2.35 8.20,15.97
956.47,18.04,571.7,0.44,4.12 -3.18 10.20,16.16
956.39,18.04,572.44,2.06,0.51 1.65 -7.69,16.35
956.28,18.05,573.35,2.77,3.22 -2.00 11.30,16.54
956.21,18.06,573.86,2.86,3.37 -2.04 11.96,16.74
956.11,18.06,574.51,0.88,7.61 -2.08 9.65,16.93
956.06,18.08,575.11,1.05,4.71 -2.08 8.79,17.12
955.95,18.08,576.15,0.05,4.86 -2.04 9.89,17.31
955.86,18.08,577.36,0.44,6.20 -2.98 14.20,17.51
955.76,18.09,577.92,0.22,8.47 -3.88 13.10,17.7
955.7,18.09,578.78,0.22,4.94 -1.73 2.28,17.89
955.57,18.09,579.56,0.66,1.65 1.80 2.67,18.08
955.48,18.1,580.2,1.11,2.79 -1.29 7.85,18.27
955.36,18.11,580.89,0.67,1.65 -3.18 8.63,18.46
955.21,18.12,582.53,1.54,7.14 -3.65 16.24,18.68
955.16,18.13,583.18,-0.2,4.90 -0.71 9.26,18.9
955.01,18.13,584.31,-0.59,1.69 -1.88 7.88,19.11
954.88,18.13,585.53,1.36,2.24 -2.39 12.83,19.33
954.8,18.14,586.04,-0.64,2.51 -3.84 8.59,19.55
954.69,18.15,586.9,2.43,5.30 -3.61 15.49,19.76
954.58,18.15,587.94,2.05,4.16 -1.69 10.87,19.98
954.48,18.16,589.03,1.56,4.47 -0.55 3.88,20.2
954.39,18.16,589.67,1.17,5.22 -3.77 18.95,20.41
954.27,18.17,591.01,1.93,5.57 -1.02 -0.08,20.63
954.2,18.18,591.61,2.01,4.67 -1.26 2.98,20.85
954.06,18.19,592.91,1.59,3.14 -1.41 8.63,21.07
953.98,18.19,593.39,1.18,4.00 -3.45 12.47,21.28
953.85,18.19,594.38,2.05,3.37 -3.06 8.55,21.5
953.8,18.2,595.33,1.43,5.41 -3.10 12.51,21.71
953.66,18.22,596.16,-0.44,5.14 -0.24 3.73,21.93
953.56,18.22,597.01,1.42,4.90 -1.14 4.24,22.15
953.45,18.23,597.71,0.44,4.43 -2.20 5.41,22.36
953.35,18.23,598.84,0.24,4.04 -1.80 6.90,22.58
953.23,18.23,599.93,1.27,4.63 -1.37 3.69,22.8
953.14,18.24,600.57,1.36,4.24 -1.33 2.59,23.01
953.02,18.25,601.91,0.59,1.37 -3.84 14.40,23.23
952.89,18.25,602.6,1.4,5.22 -0.12 1.14,23.45
952.82,18.26,603.42,0.15,5.14 -2.12 9.57,23.66
952.73,18.26,604.43,1.63,4.98 -1.29 7.41,23.88
952.63,18.26,605.34,-0.05,3.92 -2.55 10.67,24.09
952.5,18.27,606.2,-1.81,3.96 0.20 1.29,24.31
952.31,18.28,607.06,-0.83,3.30 -1.18 2.79,24.52
952.26,18.29,608.33,-0.2,2.86 -1.92 13.49,24.74
952.16,18.28,609.32,2.24,3.22 -3.69 13.57,24.96
952.06,18.29,610.31,0.59,8.94 -1.84 10.12,25.17
951.92,18.3,611.57,0.78,3.88 -3.33 9.38,25.39
951.78,18.3,612.52,1.4,3.96 -3.02 9.77,25.61
