18,2.045,0
17,2.022529012,0
16,1.981923998,0
15,1.929735708,0
14,1.868163437,0
13,1.798355806,0
12,1.720972413,0
11,1.63638072,0
10,1.544739604,0
9,1.446033368,0
8,1.340076324,0
7,1.226492209,0
6,1.104662371,0
5,0.9736228196,0
4.5,0.9042071264,0
4,0.8318595862,0
3.5,0.7562337202,0
3,0.6768641659,0
2.5,0.5931011145,0
2,0.5039863747,0
1.75,0.4569792051,0
1.5,0.4079889826,0
1.25,0.3566278661,0
1,0.3023266376,0
0.8,0.2561783224,0
0.6,0.2068145873,0
0.4,0.1528445739,0
0.2,0.09103520561,0
0,0,0
0.2,-0.09103520561,0
0.4,-0.1528445739,0
0.6,-0.2068145873,0
0.8,-0.2561783224,0
1,-0.3023266376,0
1.25,-0.3566278661,0
1.5,-0.4079889826,0
1.75,-0.4569792051,0
2,-0.5039863747,0
2.5,-0.5931011145,0
3,-0.6768641659,0
3.5,-0.7562337202,0
4,-0.8318595862,0
4.5,-0.9042071264,0
5,-0.9736228196,0
6,-1.104662371,0
7,-1.226492209,0
8,-1.340076324,0
9,-1.446033368,0
10,-1.544739604,0
11,-1.63638072,0
12,-1.720972413,0
13,-1.798355806,0
14,-1.868163437,0
15,-1.929735708,0
16,-1.981923998,0
17,-2.022529012,0
18,-2.045,0
